ndvi,lulc,temperature,population,carbon_factor,carbon
0.33266768,40,33.565263157894776,1.1103429475034838,10,0.8630527138389708
0.38201833,20,32.69324324324327,1.3140557404782318,40,32.197028077823276
0.38511327,40,32.92513513513518,1.0677127996706866,10,3.289698915583571
0.41169614,40,32.70833333333337,1.3012480271200335,10,3.136310353102216
0.31892508,40,32.09526315789475,1.1490100237122662,10,1.7274390689194794
0.62141913,10,31.969473684210584,1.0421246999025147,120,121.46247612911198
0.6120377,10,31.91810810810813,1.105300086844579,120,120.91652235047425
0.34620863,40,32.787837837837856,1.5393849982245043,10,0.0
0.37826818,40,32.51684210526321,1.0531369844583058,10,3.565518490731014
0.32087228,40,33.105135135135185,1.1070219322454093,10,0.9859232833229292
0.32097083,30,32.80315789473684,0.9232570815734655,15,7.209681547162606
0.50754595,20,31.338205128205175,0.38633987269488324,40,41.95647435704146
0.35525563,20,31.82400000000007,0.3697128183572511,40,36.98510452463071
0.3422289,30,32.996153846153845,0.3414922737007482,15,10.563251194105478
0.3834723,40,32.765135135135154,1.1333174383301992,10,3.0724463939723368
0.3436172,40,31.885675675675714,0.9930433734584704,10,3.4576236452563265
0.36495122,40,32.95972972972976,0.996816762247311,10,3.0047232733209164
0.30367187,30,33.246111111111134,1.0680637202014422,15,5.523725998358459
0.31195685,40,33.560810810810835,1.0088335981199479,10,0.7537264720801033
0.25559813,30,34.413157894736855,0.7671793199578583,15,4.418889119293293
0.27440906,30,34.413157894736855,0.8013143275187129,15,4.8125425080451425
0.47018307,40,33.87756756756761,1.203642563912375,10,4.209712126419859
0.37211037,40,32.58675675675681,0.986422646076316,10,3.6444408708744316
0.3775519,40,32.520810810810815,1.0476552417885892,10,3.5674703434915997
0.3356301,40,33.44736842105266,1.00457680767264,10,1.598650078558597
0.4002714,40,33.760810810810824,1.0497942350964815,10,2.99835971889443
0.36692536,40,33.760810810810824,1.0705358073794067,10,1.8942713444099688
0.36997488,40,33.43540540540545,1.0539042276009136,10,2.394319590735445
0.33557662,30,32.787837837837856,0.8934859964801045,15,7.812031275902941
0.31272066,30,32.09324324324325,1.2430170354788685,15,6.073291417492946
0.35472327,10,32.941351351351386,1.3274041748756937,120,111.06332597794437
0.33882403,30,33.481891891891905,1.085695148350638,15,6.254352957235031
0.35833505,40,33.27432432432437,1.0889324861723317,10,2.0310645759838906
0.40176687,40,32.31421052631583,1.0848293735629773,10,4.314648556660939
0.3832311,40,32.11944444444447,1.0893472312126737,10,3.9307524318064724
0.36337706,10,31.891081081081097,1.2310266228820628,120,112.85509782501558
0.3518571,40,31.89894736842109,1.2240847248800975,10,2.5363421978031013
0.35760027,40,31.986315789473736,1.2567477126117566,10,2.457954022854409
0.4494185,20,31.771621621621648,1.306929431504278,40,35.176286179601135
0.4130887,10,33.05000000000001,1.7364239401863584,120,110.66054115506896
0.3918552,40,32.77378378378381,1.0171124977015378,10,3.896309881459894
0.29923615,40,32.842777777777826,1.023181600602353,10,1.0183987473956497
0.39893115,40,32.79756756756757,1.2273508086756972,10,3.033612598342275
0.30176607,30,32.88157894736844,0.7815185206628472,15,7.2638102586493565
